iter	Passed	Remaining
0	127	127699
1	128	64070
2	128	42834
3	129	32208
4	129	25835
5	130	21585
6	130	18548
7	131	16270
8	131	14498
9	132	13079
10	132	11919
11	133	10953
12	133	10135
13	133	9435
14	134	8828
15	134	8296
16	135	7827
17	135	7409
18	136	7036
19	136	6699
20	137	6395
21	137	6118
22	138	5866
23	138	5635
24	139	5423
25	139	5227
26	139	5044
27	140	4875
28	140	4717
29	142	4596
30	142	4460
31	143	4329
32	143	4205
33	143	4088
34	144	3979
35	144	3879
36	145	3785
37	145	3692
38	146	3606
39	146	3524
40	147	3443
41	147	3367
42	148	3294
43	148	3224
44	148	3158
45	149	3097
46	149	3036
47	150	2983
48	151	2932
49	151	2878
50	151	2827
51	152	2776
52	152	2729
53	153	2686
54	153	2643
55	154	2602
56	155	2564
57	155	2524
58	155	2486
59	156	2450
60	156	2413
61	157	2377
62	157	2343
63	157	2310
64	158	2278
65	158	2248
66	159	2221
67	159	2188
68	160	2160
69	160	2132
70	160	2104
71	161	2078
72	161	2052
73	162	2031
74	163	2011
75	163	1989
76	164	1966
77	164	1943
78	164	1921
79	165	1901
80	165	1879
81	166	1858
82	166	1842
83	167	1823
84	167	1802
85	167	1783
86	168	1766
87	168	1748
88	169	1731
89	169	1714
90	170	1698
91	170	1683
92	171	1668
93	171	1653
94	172	1638
95	172	1624
96	172	1610
97	173	1596
98	173	1582
99	174	1569
100	174	1556
101	175	1542
102	175	1528
103	176	1516
104	176	1504
105	177	1493
106	177	1481
107	178	1470
108	178	1458
109	178	1447
110	179	1436
111	179	1426
112	180	1415
113	180	1404
114	181	1394
115	181	1383
116	182	1373
117	182	1363
118	182	1353
119	183	1344
120	183	1335
121	184	1329
122	185	1319
123	185	1312
124	186	1304
125	186	1296
126	187	1288
127	187	1278
128	188	1270
129	188	1262
130	189	1254
131	189	1246
132	190	1239
133	190	1232
134	191	1224
135	191	1217
136	192	1209
137	192	1202
138	192	1194
139	193	1188
140	193	1181
141	194	1174
142	194	1168
143	195	1161
144	196	1156
145	196	1149
146	197	1143
147	197	1136
148	197	1130
149	198	1125
150	199	1119
151	199	1113
152	200	1107
153	200	1101
154	201	1096
155	201	1091
156	202	1085
157	202	1080
158	203	1075
159	203	1069
160	204	1064
