iter	Passed	Remaining
0	130	130799
1	131	65846
2	132	44111
3	133	33225
4	134	26787
5	135	22457
6	136	19344
7	137	16994
8	137	15162
9	138	13690
10	138	12489
11	139	11487
12	140	10632
13	140	9908
14	141	9282
15	142	8734
16	142	8247
17	143	7813
18	143	7424
19	144	7077
20	144	6759
21	145	6470
22	146	6209
23	146	5970
24	147	5751
25	148	5545
26	148	5354
27	149	5180
28	149	5017
29	150	4862
30	150	4718
31	151	4583
32	152	4457
33	152	4339
34	153	4226
35	153	4120
36	154	4019
37	155	3925
38	155	3834
39	156	3749
40	156	3669
41	157	3593
42	158	3519
43	158	3447
44	159	3380
45	159	3318
46	160	3256
47	161	3198
48	161	3142
49	162	3087
50	163	3034
51	163	2986
52	164	2938
53	165	2892
54	165	2846
55	166	2801
56	166	2757
57	167	2715
58	167	2673
59	168	2635
60	168	2599
61	169	2564
62	170	2528
63	170	2496
64	171	2463
65	171	2433
66	172	2403
67	173	2372
68	173	2343
69	174	2317
70	175	2293
71	175	2267
72	176	2241
73	177	2216
74	177	2192
75	178	2168
76	178	2144
77	179	2121
78	180	2099
79	180	2076
80	181	2054
81	181	2035
82	182	2012
83	182	1993
84	183	1973
85	184	1955
86	184	1937
87	185	1918
88	185	1901
89	186	1883
90	186	1866
91	187	1850
92	188	1833
93	188	1819
94	189	1804
95	190	1790
96	190	1775
97	191	1760
98	191	1746
99	192	1732
100	193	1718
101	193	1705
102	194	1691
103	195	1680
104	195	1667
105	196	1654
106	196	1642
107	197	1629
108	197	1617
109	198	1605
110	199	1594
111	199	1582
112	200	1571
113	200	1560
114	201	1549
115	201	1538
116	202	1526
117	202	1516
118	203	1507
119	204	1497
120	204	1487
121	205	1477
122	205	1468
123	206	1458
124	207	1449
125	207	1439
126	208	1429
127	208	1420
128	209	1412
129	209	1403
130	210	1394
131	210	1385
132	211	1377
133	211	1369
134	212	1361
135	213	1354
136	213	1346
137	214	1338
138	214	1330
139	215	1323
140	215	1315
141	216	1307
142	216	1299
143	217	1293
144	218	1286
145	218	1279
146	219	1272
147	219	1265
148	220	1259
149	221	1253
150	221	1246
151	222	1240
152	222	1233
153	223	1227
154	223	1220
155	224	1214
156	225	1208
157	225	1202
158	226	1196
159	226	1190
160	227	1183
161	227	1177
162	228	1171
163	228	1165
164	229	1160
165	229	1154
166	230	1149
167	230	1143
168	231	1138
169	232	1133
170	232	1127
171	233	1122
172	233	1117
173	234	1112
174	234	1107
175	235	1103
176	236	1098
177	237	1095
178	237	1090
179	238	1085
180	238	1081
181	239	1076
182	240	1071
183	240	1067
184	241	1062
185	241	1057
186	242	1053
187	242	1048
188	243	1044
189	243	1039
190	244	1035
191	244	1031
192	245	1026
193	246	1023
194	246	1019
195	247	1015
196	248	1011
197	248	1007
198	249	1003
199	249	999
200	250	996
201	251	991
202	251	988
203	252	984
204	252	980
205	253	976
206	254	973
207	254	969
208	255	965
209	256	963
210	256	959
211	257	956
212	257	953
213	258	949
214	259	945
215	259	942
216	260	939
217	260	936
218	261	932
219	262	929
220	262	925
221	263	922
222	263	918
223	264	915
224	264	912
225	265	909
226	266	906
227	266	903
228	267	900
229	268	897
230	268	894
231	269	891
232	269	888
233	270	885
234	271	882
235	271	879
236	272	876
237	272	872
238	273	869
239	273	866
240	274	864
241	275	861
242	275	858
243	276	855
244	276	852
245	277	849
246	277	846
247	278	843
248	278	841
249	279	838
250	280	836
251	281	834
252	281	831
253	282	828
254	282	825
255	283	822
256	283	820
257	284	817
258	284	814
259	285	812
260	285	809
261	286	806
262	287	804
263	287	801
264	288	798
265	289	797
266	289	795
267	290	792
268	290	790
269	291	787
270	292	785
271	292	783
272	293	781
273	294	779
274	294	777
275	295	774
276	296	772
277	296	770
278	297	768
279	298	766
280	298	764
281	299	761
282	300	760
283	300	758
284	301	756
285	301	753
286	302	752
287	303	750
288	304	748
289	304	745
290	305	743
291	306	742
292	306	740
293	307	738
294	308	736
295	308	733
296	309	731
297	309	729
298	310	727
299	310	725
300	311	723
301	312	721
302	312	719
303	313	717
304	313	715
305	314	713
306	315	711
307	315	709
308	316	706
309	316	704
310	317	702
311	317	700
312	318	698
313	318	696
314	319	694
315	319	692
316	320	691
317	321	689
318	321	687
319	322	685
320	323	683
321	323	681
322	324	679
323	324	677
324	325	675
325	325	673
326	326	672
327	327	670
328	327	668
329	328	666
330	328	664
331	329	662
332	329	660
333	330	659
334	331	658
335	332	656
336	332	654
337	333	653
338	333	651
339	334	649
340	335	647
341	335	645
342	336	643
343	336	642
344	337	641
345	338	639
346	338	637
347	339	636
348	340	634
349	340	632
350	341	630
351	341	628
352	342	627
353	342	625
354	343	623
355	343	622
356	344	620
357	344	618
358	345	616
359	346	615
360	346	613
361	347	611
